link,pricePerMonth,address,numRooms,dateListed
https://www.zoopla.co.uk/to-rent/details/50768827,"['', '', '', '', '', '', '', '', '800', 'pcm', '', '(185', 'pw)', '']",London London NW1,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768828,"['', '', '', '', '', '', '', '', '1095', 'pcm', '', '(253', 'pw)', '']",Alloa Road Ilford IG3,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768829,"['', '', '', '', '', '', '', '', '1500', 'pcm', '', '(346', 'pw)', '']",Radcliffe Way Northolt UB5,3,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768832,"['', '', '', '', '', '', '', '', '1200', 'pcm', '', '(277', 'pw)', '']",Overhill Road London SE22,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768834,"['', '', '', '', '', '', '', '', '1550', 'pcm', '', '(358', 'pw)', '']",Blessing Way Barking IG11,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768835,"['', '', '', '', '', '', '', '', '1395', 'pcm', '', '(322', 'pw)', '']",Brandy Way Sutton SM2,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768822,"['', '', '', '', '', '', '', '', '1125', 'pcm', '', '(260', 'pw)', '']",Spencer Court Wallington SM6,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768810,"['', '', '', '', '', '', '', '', '1500', 'pcm', '', '(346', 'pw)', '']",Azalea Close Hanwell W7,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768817,"['', '', '', '', '', '', '', '', '1200', 'pcm', '', '(277', 'pw)', '']",Muswell Hill London N10,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50768824,"['', '', '', '', '', '', '', '', '2200', 'pcm', '', '(508', 'pw)', '']",Wards Wharf Approach London E16,2,2019-01-08
